Lesiones,tipos,Fullpath
"[[[ 53 112 191]
  [ 48 107 187]
  [ 46 103 189]
  ...
  [ 66 139 207]
  [ 66 139 207]
  [ 66 139 207]]

 [[ 52 110 190]
  [ 47 105 186]
  [ 44 101 188]
  ...
  [ 67 140 208]
  [ 68 141 209]
  [ 68 141 209]]

 [[ 50 109 189]
  [ 46 104 186]
  [ 41  99 188]
  ...
  [ 66 138 208]
  [ 66 138 208]
  [ 66 138 208]]

 ...

 [[ 63 118 193]
  [ 62 117 192]
  [ 61 115 192]
  ...
  [ 55 106 179]
  [ 55 106 179]
  [ 55 106 179]]

 [[ 62 117 192]
  [ 61 116 191]
  [ 59 113 190]
  ...
  [ 56 106 180]
  [ 56 106 180]
  [ 56 106 180]]

 [[ 61 116 191]
  [ 60 115 190]
  [ 59 113 190]
  ...
  [ 57 106 180]
  [ 57 106 180]
  [ 57 106 180]]]",Adenoma,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Adenoma\test10_1.jpg
"[[[ 30  58  93]
  [ 30  58  93]
  [ 30  58  93]
  ...
  [ 44  92 140]
  [ 44  92 140]
  [ 45  93 141]]

 [[ 30  58  93]
  [ 30  58  93]
  [ 30  58  93]
  ...
  [ 45  93 141]
  [ 45  93 141]
  [ 46  94 142]]

 [[ 30  58  93]
  [ 30  58  93]
  [ 30  58  93]
  ...
  [ 47  95 143]
  [ 47  95 143]
  [ 48  96 144]]

 ...

 [[ 44  89 156]
  [ 45  90 157]
  [ 47  92 159]
  ...
  [ 61 117 182]
  [ 60 116 181]
  [ 59 115 180]]

 [[ 45  90 157]
  [ 47  92 159]
  [ 48  93 160]
  ...
  [ 62 118 183]
  [ 61 117 182]
  [ 59 115 180]]

 [[ 47  92 159]
  [ 47  92 160]
  [ 49  94 161]
  ...
  [ 64 120 185]
  [ 62 118 183]
  [ 61 117 182]]]",Adenoma,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Adenoma\test10_10.jpg
"[[[ 64 134 174]
  [ 76 145 189]
  [114 181 226]
  ...
  [101 176 232]
  [101 175 232]
  [ 99 174 228]]

 [[ 72 140 184]
  [ 74 141 186]
  [ 83 149 197]
  ...
  [ 94 169 225]
  [ 96 171 227]
  [ 97 172 226]]

 [[ 69 135 184]
  [ 67 133 183]
  [ 67 131 186]
  ...
  [ 90 165 221]
  [ 92 167 223]
  [ 91 166 220]]

 ...

 [[ 77 148 215]
  [ 77 148 215]
  [ 77 148 215]
  ...
  [ 71 142 205]
  [ 70 141 204]
  [ 70 142 204]]

 [[ 75 146 213]
  [ 76 147 214]
  [ 76 147 215]
  ...
  [ 70 141 204]
  [ 69 140 203]
  [ 68 141 203]]

 [[ 74 145 212]
  [ 75 146 213]
  [ 75 146 214]
  ...
  [ 69 140 203]
  [ 69 140 203]
  [ 68 140 203]]]",Adenoma,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Adenoma\test10_11.jpg
"[[[ 65 100 163]
  [ 67 103 166]
  [ 64 101 164]
  ...
  [ 74 150 203]
  [ 75 151 204]
  [ 76 152 205]]

 [[ 65 102 160]
  [ 65 103 161]
  [ 61 100 158]
  ...
  [ 75 151 204]
  [ 76 152 205]
  [ 76 152 205]]

 [[127 164 215]
  [115 154 204]
  [ 96 136 187]
  ...
  [ 76 151 207]
  [ 77 152 208]
  [ 78 153 209]]

 ...

 [[ 50 103 176]
  [ 50 103 176]
  [ 51 103 176]
  ...
  [ 65 127 188]
  [ 65 128 188]
  [ 66 129 189]]

 [[ 50 103 176]
  [ 50 103 176]
  [ 50 103 176]
  ...
  [ 66 129 190]
  [ 67 130 190]
  [ 67 130 190]]

 [[ 50 106 177]
  [ 50 106 177]
  [ 50 106 177]
  ...
  [ 64 130 189]
  [ 64 131 189]
  [ 64 131 188]]]",Adenoma,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Adenoma\test10_12.jpg
"[[[ 43  91 157]
  [ 43  91 157]
  [ 43  91 157]
  ...
  [ 46 113 181]
  [ 45 112 180]
  [ 44 112 179]]

 [[ 42  90 156]
  [ 42  90 156]
  [ 42  90 156]
  ...
  [ 44 110 175]
  [ 42 109 174]
  [ 40 108 174]]

 [[ 41  89 155]
  [ 41  89 155]
  [ 41  89 155]
  ...
  [ 56 120 184]
  [ 55 120 184]
  [ 53 120 183]]

 ...

 [[ 44  89 163]
  [ 45  89 163]
  [ 45  90 164]
  ...
  [ 51  98 164]
  [ 51  99 165]
  [ 52 100 166]]

 [[ 44  89 163]
  [ 44  89 163]
  [ 45  90 164]
  ...
  [ 50  97 164]
  [ 50  98 164]
  [ 51  99 165]]

 [[ 44  89 162]
  [ 45  89 162]
  [ 45  90 163]
  ...
  [ 50  97 164]
  [ 50  98 164]
  [ 50  98 164]]]",Adenoma,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Adenoma\test10_13.jpg
"[[[ 13  70 135]
  [ 16  72 137]
  [ 20  73 140]
  ...
  [ 48 110 170]
  [ 48 110 170]
  [ 48 110 170]]

 [[ 19  73 137]
  [ 20  74 138]
  [ 24  74 141]
  ...
  [ 48 110 171]
  [ 49 110 171]
  [ 50 112 172]]

 [[ 26  79 139]
  [ 26  78 139]
  [ 28  76 140]
  ...
  [ 49 110 172]
  [ 50 110 172]
  [ 50 111 172]]

 ...

 [[ 59 116 178]
  [ 59 115 179]
  [ 58 114 179]
  ...
  [ 68 139 202]
  [ 69 140 203]
  [ 70 141 204]]

 [[ 58 115 177]
  [ 57 114 177]
  [ 56 112 177]
  ...
  [ 69 140 203]
  [ 69 140 203]
  [ 70 141 204]]

 [[ 58 115 177]
  [ 57 114 177]
  [ 56 112 177]
  ...
  [ 69 140 203]
  [ 69 140 203]
  [ 69 140 203]]]",Adenoma,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Adenoma\test10_14.jpg
"[[[111 132 219]
  [108 128 215]
  [103 124 210]
  ...
  [ 39  89 161]
  [ 39  89 161]
  [ 39  89 161]]

 [[122 152 230]
  [114 143 221]
  [102 132 210]
  ...
  [ 39  89 161]
  [ 38  88 160]
  [ 39  89 161]]

 [[132 174 237]
  [117 160 222]
  [ 97 142 203]
  ...
  [ 36  86 158]
  [ 36  86 158]
  [ 37  87 158]]

 ...

 [[ 48 109 183]
  [ 47 107 182]
  [ 47 104 180]
  ...
  [ 54 115 192]
  [ 52 112 191]
  [ 53 111 191]]

 [[ 47 108 182]
  [ 47 107 182]
  [ 46 104 180]
  ...
  [ 58 116 192]
  [ 56 114 192]
  [ 58 114 193]]

 [[ 47 108 182]
  [ 46 106 181]
  [ 46 103 179]
  ...
  [ 58 115 192]
  [ 59 115 192]
  [ 62 117 194]]]",Adenoma,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Adenoma\test10_15.jpg
"[[[ 46  94 189]
  [ 49  98 190]
  [ 49 100 185]
  ...
  [ 48 111 192]
  [ 48 111 192]
  [ 48 111 192]]

 [[ 52 101 192]
  [ 42  93 180]
  [ 40  93 174]
  ...
  [ 46 107 188]
  [ 46 107 188]
  [ 46 107 188]]

 [[ 55 107 189]
  [ 43  97 175]
  [ 37  92 166]
  ...
  [ 45 105 187]
  [ 47 104 189]
  [ 45 105 187]]

 ...

 [[ 55 114 194]
  [ 53 112 192]
  [ 51 110 190]
  ...
  [ 62 134 204]
  [ 63 136 204]
  [ 62 136 204]]

 [[ 55 114 194]
  [ 53 112 192]
  [ 50 109 189]
  ...
  [ 63 135 205]
  [ 63 135 205]
  [ 64 136 206]]

 [[ 56 115 195]
  [ 52 111 191]
  [ 49 108 188]
  ...
  [ 63 135 205]
  [ 64 136 206]
  [ 64 136 206]]]",Adenoma,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Adenoma\test10_16.jpg
"[[[ 48 132 190]
  [ 45 128 189]
  [ 48 129 191]
  ...
  [ 80 144 221]
  [ 79 142 221]
  [ 79 140 220]]

 [[ 55 135 189]
  [ 49 128 183]
  [ 47 124 181]
  ...
  [ 68 132 210]
  [ 67 130 208]
  [ 66 128 207]]

 [[110 177 222]
  [ 95 163 208]
  [ 78 146 195]
  ...
  [ 65 130 205]
  [ 62 127 202]
  [ 59 123 200]]

 ...

 [[ 56 122 193]
  [ 56 122 193]
  [ 56 121 195]
  ...
  [ 70 135 204]
  [ 69 136 205]
  [ 70 137 206]]

 [[ 57 123 194]
  [ 56 122 193]
  [ 56 121 195]
  ...
  [ 69 136 205]
  [ 68 137 206]
  [ 69 138 207]]

 [[ 57 123 194]
  [ 56 122 193]
  [ 56 121 195]
  ...
  [ 68 137 206]
  [ 68 139 207]
  [ 69 140 208]]]",Adenoma,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Adenoma\test10_17.jpg
"[[[ 95 151 216]
  [114 170 235]
  [113 167 233]
  ...
  [ 51 100 178]
  [ 51  99 178]
  [ 51  99 177]]

 [[ 52 108 173]
  [ 64 120 185]
  [ 67 122 188]
  ...
  [ 51 100 178]
  [ 51  99 178]
  [ 51  99 177]]

 [[ 45  99 162]
  [ 43  97 161]
  [ 44  97 163]
  ...
  [ 52 100 178]
  [ 51 100 178]
  [ 50  99 177]]

 ...

 [[ 43  87 171]
  [ 43  87 171]
  [ 42  86 170]
  ...
  [ 47  90 167]
  [ 47  91 167]
  [ 46  90 167]]

 [[ 44  88 172]
  [ 43  87 171]
  [ 42  86 170]
  ...
  [ 47  91 168]
  [ 46  90 167]
  [ 45  89 166]]

 [[ 42  86 170]
  [ 41  85 169]
  [ 41  84 168]
  ...
  [ 46  90 167]
  [ 46  90 167]
  [ 46  90 167]]]",Adenoma,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Adenoma\test10_18.jpg
