Lesiones,tipos,Fullpath
"[[[ 63  79 125]
  [ 68  84 130]
  [ 59  75 121]
  ...
  [206 223 250]
  [210 227 254]
  [214 231 255]]

 [[ 64  80 126]
  [ 68  84 130]
  [ 67  83 129]
  ...
  [206 223 249]
  [210 227 254]
  [213 230 255]]

 [[ 66  82 128]
  [ 68  83 130]
  [ 70  86 132]
  ...
  [206 223 250]
  [211 228 254]
  [206 223 250]]

 ...

 [[ 66  86 144]
  [ 70  89 149]
  [ 80  99 160]
  ...
  [ 78  97 165]
  [ 60  77 142]
  [ 57  75 136]]

 [[ 63  82 140]
  [ 65  83 143]
  [ 65  84 144]
  ...
  [ 70  89 156]
  [ 57  75 138]
  [ 59  77 137]]

 [[ 53  69 128]
  [ 59  74 136]
  [ 63  78 140]
  ...
  [ 60  80 144]
  [ 57  76 137]
  [ 55  73 132]]]",Hyperplastic,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Hyperplastic\test11_1.jpg
"[[[ 67  85 138]
  [ 68  86 139]
  [ 63  81 134]
  ...
  [148 175 252]
  [147 167 245]
  [144 166 244]]

 [[ 75  93 146]
  [ 72  90 143]
  [ 64  82 135]
  ...
  [142 172 248]
  [142 168 245]
  [144 171 248]]

 [[ 70  88 141]
  [ 70  88 141]
  [ 58  76 129]
  ...
  [143 172 247]
  [135 165 241]
  [141 173 249]]

 ...

 [[ 72  98 179]
  [ 69  96 177]
  [ 82 110 191]
  ...
  [100 129 214]
  [ 97 127 210]
  [ 99 129 212]]

 [[ 80 107 187]
  [ 78 105 185]
  [ 79 106 187]
  ...
  [103 132 217]
  [ 98 128 211]
  [ 97 127 210]]

 [[ 72 100 177]
  [ 75 104 181]
  [ 78 105 185]
  ...
  [ 97 127 210]
  [102 133 212]
  [100 131 210]]]",Hyperplastic,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Hyperplastic\test11_10.jpg
"[[[ 43  50  69]
  [ 37  45  66]
  [ 47  57  78]
  ...
  [146 172 205]
  [ 15  21  40]
  [  8  12  18]]

 [[ 45  53  73]
  [ 42  51  71]
  [ 44  53  76]
  ...
  [136 168 209]
  [155 178 208]
  [ 70  87 106]]

 [[ 39  45  68]
  [ 38  46  69]
  [ 46  54  80]
  ...
  [124 161 209]
  [122 155 197]
  [133 164 202]]

 ...

 [[137 177 212]
  [124 163 201]
  [144 183 223]
  ...
  [ 12  13  11]
  [  8   9   8]
  [  9  10   7]]

 [[128 168 202]
  [138 177 215]
  [129 167 208]
  ...
  [ 11  12   9]
  [ 26  27  26]
  [  3   4   2]]

 [[135 174 213]
  [123 162 201]
  [142 179 222]
  ...
  [  5   5   5]
  [  3   4   3]
  [  3   4   3]]]",Hyperplastic,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Hyperplastic\test11_100.jpg
"[[[ 46  53  72]
  [ 43  51  71]
  [ 35  42  64]
  ...
  [  6   3   0]
  [  2   2   2]
  [  2   2   2]]

 [[ 52  59  79]
  [ 34  41  61]
  [ 36  43  66]
  ...
  [  2   1   2]
  [  2   2   2]
  [  2   2   2]]

 [[ 39  43  67]
  [ 44  48  72]
  [ 27  33  59]
  ...
  [  0   0   5]
  [  2   2   2]
  [  2   2   2]]

 ...

 [[146 181 225]
  [130 167 212]
  [144 181 227]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]

 [[135 170 213]
  [137 175 217]
  [148 186 230]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]

 [[139 174 217]
  [150 187 231]
  [141 180 224]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]]",Hyperplastic,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Hyperplastic\test11_101.jpg
"[[[ 64  75 102]
  [ 72  84 110]
  [ 81  94 121]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 [[ 79  94 120]
  [ 91 105 133]
  [ 83  99 127]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 [[ 89 107 136]
  [ 74  92 121]
  [ 78  98 126]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 ...

 [[161 198 253]
  [159 196 252]
  [152 189 245]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]

 [[142 184 241]
  [143 186 243]
  [151 194 250]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]

 [[159 200 248]
  [160 201 250]
  [166 207 255]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]]",Hyperplastic,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Hyperplastic\test11_102.jpg
"[[[ 39  39  55]
  [ 40  41  55]
  [ 33  35  48]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 [[ 35  36  50]
  [ 34  35  49]
  [ 31  33  46]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 [[ 40  41  55]
  [ 30  31  44]
  [ 42  43  57]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 ...

 [[137 175 209]
  [124 163 201]
  [137 176 218]
  ...
  [  4   4   4]
  [  4   4   4]
  [  5   5   5]]

 [[138 176 210]
  [143 183 218]
  [140 179 222]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]

 [[136 173 207]
  [135 174 212]
  [136 174 217]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]]",Hyperplastic,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Hyperplastic\test11_103.jpg
"[[[  8   9   4]
  [  8   9   4]
  [  9  10   7]
  ...
  [  8   8   8]
  [  8   8   8]
  [  8   8   8]]

 [[  0   0   5]
  [  1   0   4]
  [  1   1   4]
  ...
  [  6   6   6]
  [  6   6   6]
  [  6   6   6]]

 [[ 35  35  45]
  [ 34  34  44]
  [ 35  35  45]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]

 ...

 [[140 176 221]
  [129 166 209]
  [138 176 215]
  ...
  [  3   5   5]
  [  3   5   5]
  [  4   4   4]]

 [[143 184 216]
  [142 183 216]
  [142 182 217]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]

 [[133 174 206]
  [138 179 212]
  [128 168 204]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]]",Hyperplastic,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Hyperplastic\test11_104.jpg
"[[[ 17  12  13]
  [ 16  11  12]
  [ 14  12  12]
  ...
  [ 12  12  12]
  [ 12  12  12]
  [ 12  12  12]]

 [[  9   7   9]
  [  8   7   7]
  [  8   8   8]
  ...
  [  9   9   9]
  [  9   9   9]
  [  9   9   9]]

 [[  0   2   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  6   6   6]
  [  6   6   6]
  [  6   6   6]]

 ...

 [[132 165 204]
  [127 160 199]
  [145 180 220]
  ...
  [  3   3   3]
  [  3   3   3]
  [  3   3   3]]

 [[144 177 216]
  [148 181 220]
  [148 183 223]
  ...
  [  3   3   3]
  [  3   3   3]
  [  3   3   3]]

 [[152 185 223]
  [153 186 225]
  [152 187 227]
  ...
  [  3   3   3]
  [  3   3   3]
  [  3   3   3]]]",Hyperplastic,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Hyperplastic\test11_105.jpg
"[[[ 17  15  15]
  [ 11  11   9]
  [ 10  10  10]
  ...
  [ 12  12  12]
  [ 12  12  12]
  [ 12  12  12]]

 [[  3  11   0]
  [  5  11   1]
  [  7  10   1]
  ...
  [  9   9   9]
  [  9   9   9]
  [  9   9   9]]

 [[  0   3   1]
  [  4   8   7]
  [  4   9   8]
  ...
  [  6   6   6]
  [  6   6   6]
  [  6   6   6]]

 ...

 [[153 189 229]
  [130 170 208]
  [129 167 209]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]

 [[150 185 229]
  [145 181 227]
  [144 180 226]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]

 [[145 180 224]
  [149 185 231]
  [150 186 232]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]]",Hyperplastic,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Hyperplastic\test11_106.jpg
"[[[  7   8   8]
  [  8   9   9]
  [ 10  10  11]
  ...
  [ 10  10  10]
  [ 10  10  10]
  [ 10  10  10]]

 [[ 12   7   4]
  [ 14   9   6]
  [ 14   9   6]
  ...
  [  7   7   7]
  [  7   7   7]
  [  7   7   7]]

 [[  0   1   9]
  [  0   1   9]
  [  1   1  10]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]

 ...

 [[146 188 230]
  [156 198 240]
  [152 193 238]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]

 [[152 193 236]
  [162 204 247]
  [151 192 237]
  ...
  [  3   3   3]
  [  2   2   2]
  [  3   3   3]]

 [[151 193 236]
  [138 180 223]
  [147 188 233]
  ...
  [  3   3   3]
  [  3   3   3]
  [  3   3   3]]]",Hyperplastic,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Hyperplastic\test11_107.jpg
