Lesiones,tipos,Fullpath
"[[[3 3 3]
  [4 3 3]
  [1 3 3]
  ...
  [3 3 3]
  [1 3 3]
  [1 3 3]]

 [[1 3 3]
  [1 3 3]
  [1 3 3]
  ...
  [3 3 3]
  [1 3 3]
  [1 3 3]]

 [[1 3 3]
  [3 3 3]
  [3 3 3]
  ...
  [2 2 2]
  [2 2 2]
  [2 2 2]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",Ulcer,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Ulcer\000eeefc-9035-4d42-92a1-2f97a3200ee0.jpg
"[[[4 4 4]
  [4 4 4]
  [5 5 5]
  ...
  [2 4 4]
  [4 4 4]
  [1 3 3]]

 [[4 4 4]
  [3 3 3]
  [4 4 4]
  ...
  [3 4 4]
  [4 4 4]
  [3 4 2]]

 [[4 4 4]
  [4 4 4]
  [4 4 4]
  ...
  [3 3 2]
  [4 4 4]
  [1 4 2]]

 ...

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [0 1 0]
  [0 2 2]
  [1 1 1]]

 [[2 2 2]
  [2 2 2]
  [3 2 2]
  ...
  [1 2 0]
  [1 2 2]
  [1 1 1]]

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [1 1 1]
  [1 1 1]
  [0 0 0]]]",Ulcer,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Ulcer\0046dd24-a4c0-4923-a07a-15be898182e2.jpg
"[[[3 3 3]
  [3 3 3]
  [2 3 3]
  ...
  [0 2 2]
  [3 3 3]
  [2 2 2]]

 [[2 4 4]
  [1 3 3]
  [3 3 3]
  ...
  [2 3 3]
  [1 3 3]
  [0 3 1]]

 [[3 3 3]
  [3 3 3]
  [3 3 3]
  ...
  [2 3 3]
  [4 4 4]
  [0 2 2]]

 ...

 [[1 1 1]
  [2 2 2]
  [0 2 2]
  ...
  [0 0 0]
  [1 2 0]
  [0 0 0]]

 [[0 0 0]
  [1 1 1]
  [1 1 1]
  ...
  [0 0 0]
  [1 1 1]
  [1 1 1]]

 [[0 0 0]
  [0 0 0]
  [1 1 1]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",Ulcer,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Ulcer\005b9962-41ed-4ae4-8aae-395bbab93fd7.jpg
"[[[4 5 3]
  [4 4 4]
  [4 4 4]
  ...
  [3 3 3]
  [4 4 4]
  [3 3 3]]

 [[4 4 4]
  [2 2 2]
  [4 4 4]
  ...
  [2 2 2]
  [4 4 4]
  [1 3 3]]

 [[4 4 4]
  [3 3 3]
  [3 3 3]
  ...
  [4 4 4]
  [4 4 4]
  [0 2 2]]

 ...

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [0 0 0]
  [2 2 2]
  [1 2 0]]

 [[1 1 1]
  [1 1 1]
  [2 2 2]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[1 1 1]
  [2 2 2]
  [2 2 2]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]]",Ulcer,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Ulcer\007dcc7c-1f16-49ee-a8a1-5e752596abd5.jpg
"[[[4 5 5]
  [4 4 4]
  [3 5 5]
  ...
  [1 3 3]
  [5 5 5]
  [2 4 4]]

 [[4 4 4]
  [2 4 4]
  [4 4 4]
  ...
  [2 4 3]
  [3 5 3]
  [2 4 4]]

 [[4 4 4]
  [5 5 5]
  [5 5 5]
  ...
  [2 3 2]
  [2 5 3]
  [2 4 4]]

 ...

 [[2 2 2]
  [2 2 2]
  [1 2 2]
  ...
  [0 1 1]
  [0 2 2]
  [1 1 1]]

 [[2 2 2]
  [0 2 2]
  [2 2 2]
  ...
  [0 2 2]
  [2 2 2]
  [0 2 2]]

 [[3 3 3]
  [1 3 3]
  [2 2 2]
  ...
  [1 1 1]
  [2 2 2]
  [1 2 0]]]",Ulcer,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Ulcer\00a436bc-67ee-4a43-b1a7-25130a2d4e72.jpg
"[[[4 4 4]
  [4 4 4]
  [3 3 3]
  ...
  [3 4 4]
  [3 3 3]
  [0 2 2]]

 [[4 5 3]
  [4 4 4]
  [1 3 3]
  ...
  [2 3 3]
  [1 3 3]
  [1 4 2]]

 [[4 4 4]
  [4 4 4]
  [4 4 4]
  ...
  [1 3 3]
  [2 4 4]
  [2 4 4]]

 ...

 [[1 1 1]
  [0 1 1]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [0 0 0]
  [1 1 1]
  [0 0 0]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [0 0 1]
  [0 0 0]
  [0 0 0]]]",Ulcer,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Ulcer\00e241d0-6679-4da7-bd9e-d1cfb56a33e5.jpg
"[[[3 3 3]
  [3 3 3]
  [2 3 3]
  ...
  [0 2 2]
  [3 3 3]
  [2 2 2]]

 [[2 3 1]
  [0 2 2]
  [3 3 3]
  ...
  [1 3 3]
  [3 3 3]
  [3 3 3]]

 [[1 3 3]
  [2 3 3]
  [4 4 4]
  ...
  [1 3 3]
  [3 3 3]
  [2 2 2]]

 ...

 [[2 3 1]
  [2 2 2]
  [2 2 2]
  ...
  [0 1 1]
  [3 1 0]
  [1 1 1]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [0 0 0]
  [1 1 1]
  [1 1 1]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [0 0 0]
  [1 1 1]
  [0 0 0]]]",Ulcer,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Ulcer\013f51fa-caf3-4c31-adc5-af00eacf55c7.jpg
"[[[5 6 6]
  [6 6 6]
  [4 5 5]
  ...
  [4 5 5]
  [6 6 6]
  [5 5 5]]

 [[3 5 5]
  [4 4 4]
  [4 4 4]
  ...
  [2 4 4]
  [4 4 4]
  [4 4 4]]

 [[2 4 4]
  [4 4 4]
  [4 4 4]
  ...
  [2 4 4]
  [4 4 4]
  [4 4 4]]

 ...

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [3 2 2]
  [0 1 1]
  [2 2 2]]

 [[2 2 2]
  [2 2 2]
  [4 3 3]
  ...
  [2 2 2]
  [3 3 3]
  [3 3 3]]

 [[3 3 3]
  [3 3 3]
  [4 3 3]
  ...
  [2 2 2]
  [2 2 2]
  [3 3 3]]]",Ulcer,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Ulcer\018962bd-e536-404b-854e-6836abd8b5c8.jpg
"[[[4 4 4]
  [3 5 5]
  [4 5 5]
  ...
  [3 4 4]
  [3 5 5]
  [2 3 3]]

 [[4 4 4]
  [2 4 4]
  [3 5 3]
  ...
  [2 4 2]
  [4 5 5]
  [4 4 4]]

 [[3 5 5]
  [2 4 4]
  [2 4 4]
  ...
  [2 3 3]
  [2 4 4]
  [2 4 4]]

 ...

 [[2 3 1]
  [3 3 3]
  [1 2 2]
  ...
  [1 1 1]
  [0 2 2]
  [1 1 1]]

 [[0 4 3]
  [3 3 3]
  [0 2 2]
  ...
  [2 2 2]
  [0 2 2]
  [2 2 2]]

 [[0 2 2]
  [1 1 1]
  [0 2 2]
  ...
  [1 1 1]
  [0 1 1]
  [2 2 2]]]",Ulcer,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Ulcer\01bf0602-b49e-4a1c-a54c-ac132a52233d.jpg
"[[[5 5 5]
  [4 4 4]
  [5 5 5]
  ...
  [2 4 4]
  [5 5 5]
  [2 3 3]]

 [[5 5 5]
  [4 4 4]
  [5 5 5]
  ...
  [2 4 4]
  [5 5 5]
  [1 3 3]]

 [[4 4 4]
  [4 4 4]
  [4 4 4]
  ...
  [4 4 4]
  [5 5 5]
  [1 3 3]]

 ...

 [[2 2 2]
  [2 2 2]
  [1 2 2]
  ...
  [0 1 1]
  [1 2 0]
  [0 1 1]]

 [[3 3 3]
  [1 2 2]
  [1 2 2]
  ...
  [0 1 1]
  [0 2 2]
  [0 1 1]]

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [2 2 2]
  [2 2 2]
  [1 2 0]]]",Ulcer,c:\Users\Administrator\Desktop\TheBridge\Bootcamp-DataScience-2021\MachineLearning\data\Ulcer\01c87d4d-4ae7-461c-91af-936972ce37ea.jpg
